charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
25921,43768,22530,21236,2,78.54,50,5974,4947,,4553,4161,,1270,1397,1,40255,3513,33093,26031,2366,10840,22916,80.71,82.74,14530,11435
25922,34932,19395,15525,12,80.84,66.67,4026,2850,1,4704,3267,5,4219,3295,1,33565,1367,28892,23903,3179,11907,22475,83.47,85.52,12111,11090
25923,72734,39203,33515,16,86.19,37.5,6225,4711,1,9750,8514,3,11288,8922,1,70882,1852,60890,51581,5410,20296,47597,88.07,89.69,19042,17715
25924,61392,31375,29995,22,79.74,50,5695,4704,4,6601,6352,4,6625,6237,1,59961,1431,48702,39156,4407,16709,34618,81.96,84.1,10228,9348
25925,71849,37528,34307,14,79.41,71.43,6979,5906,3,9331,7897,4,7696,6391,2,69520,2329,57335,45845,4638,21108,41481,82.36,85.01,14783,12861
25926,26637,13343,13290,4,91.58,75,2254,2240,,3777,3799,,3674,3469,3,26476,161,21744,17753,2716,6207,16602,92.86,94.15,9326,8850
25927,37355,19667,17684,4,72.67,50,4044,3193,2,4132,3269,,2851,2575,,35448,1907,29223,22874,2381,11468,19807,76.06,79.1,9570,8212
25928,26778,14070,12708, ,89.86,,2441,2125,,3629,3339,,3991,3348,,26127,651,21946,17963,2740,6159,16943,90.95,91.93,7940,7395
25929,31684,16426,15257,1,87.75,,3249,2671,,4689,4220,,3959,3630,,30928,756,26289,21266,2155,6220,19784,89.82,91.76,11053,10142
25930,34306,17540,16763,3,92.83,66.67,3072,2822,,5324,5157,1,4628,4164,,33817,489,27907,22783,3060,9285,21238,94.21,95.53,12446,11597
25931,39184,19881,19298,5,86.35,40,4657,4356,,5655,5212,2,2689,2719,,38799,385,30601,24437,2627,10337,21535,87.72,89.06,10059,8359
25932,39812,20549,19254,9,84.53,77.78,5407,4488,1,5302,5136,1,1804,1861,,39552,260,30971,24401,2544,11679,21267,85.77,86.94,10543,8633
25933,62913,34863,28035,15,89.19,46.67,7906,5834,1,10339,8129,2,6168,4700,1,61815,1098,51617,42146,4368,16921,37909,89.84,90.36,20834,17746
25934,25594,13096,12497,1,89.67,100,3552,3045,,3726,3624,,1617,1738,1,25435,159,20454,16227,1871,6405,14831,90.5,91.3,9319,7885
25935,24252,12408,11842,2,84.56,50,2934,2390,,3468,3458,1,1639,1724,,23278,974,19331,15407,1718,6007,13730,85.5,86.41,7593,6159
25936,61097,33947,27142,8,81.19,62.5,7378,5500,1,7948,6791,2,4421,3636,1,55765,5332,49780,40937,3736,16438,36598,83.27,84.88,16886,14589
